DATE, COMPANY, CHANGE
02DEC2024, Lucky Cement, 20.550
02DEC2024, Lucky Cement, 10.010
02DEC2024, Lucky Cement, 20.960
02DEC2024, Lucky Cement, 19.760
02DEC2024, MACPAC Films, 0.580
02DEC2024, Macter Int. Ltd, 6.310
02DEC2024, Mari Petroleum, 2.370
02DEC2024, MCB Bank Ltd, 3.670
02DEC2024, MCB Bank Ltd, 0.080
02DEC2024, MCB Bank Ltd, 3.700
02DEC2024, MCB Inv MGT, 5.860
02DEC2024, MCB Bank Ltd, 3.410
02DEC2024, Media Times Ltd, 0.300
02DEC2024, Meezan Bank Ltd, 10.620
02DEC2024, Meezan Bank Ltd, 9.630
02DEC2024, Meezan Bank Ltd, 10.980
02DEC2024, Meezan Bank Ltd, 10.640
02DEC2024, Mehmood Tex., 0.000
02DEC2024, Merit Packaging, -0.060
02DEC2024, MithchellsFruit, 2.310
02DEC2024, Matco Foods Ltd, 0.380
02DEC2024, Mahaana Islamic, 0.330
02DEC2024, Mirpurkhas Sugar, 0.510
02DEC2024, Maple Leaf, 3.750
02DEC2024, Maple Leaf, 3.640
02DEC2024, Maple Leaf, 3.900
02DEC2024, Maple Leaf, 3.810
02DEC2024, Maqbool Textile, 0.010
02DEC2024, Mehran Sugar, -0.870
02DEC2024, Metro Steel, 0.430
02DEC2024, Masood Textile, 0.860
02DEC2024, Masood(Pref), 0.050
02DEC2024, Millat Tractors, 2.370
02DEC2024, Millat Tractors, -18.030
02DEC2024, Millat Tractors, 2.180
02DEC2024, Millat Tractors, 1.610
02DEC2024, Mughal Iron, 2.540
02DEC2024, Mughal Iron, 2.010
02DEC2024, Mughal Iron, 2.620
02DEC2024, Mughal Iron, 2.510
02DEC2024, Murree Brewery, 27.120
02DEC2024, Mandviwala, -0.250
02DEC2024, Meezan Pakistan, 0.350
02DEC2024, Meezan Pakistan, 0.340
02DEC2024, Meezan Pakistan, 0.360
02DEC2024, Meezan Pakistan, 0.340
02DEC2024, National Foods, 4.640
02DEC2024, National BankXD, 2.680
02DEC2024, National BankXD, 2.410
02DEC2024, National BankXD, 2.770
02DEC2024, NBP Pakistan G ETF, -0.020
02DEC2024, NBP Pakistan G ETF, -0.010
02DEC2024, NBP Pakistan G ETF, -0.030
02DEC2024, National BankXD, 2.660
02DEC2024, Nishat (Chun.), 2.280
02DEC2024, Nazir Cotton Mills, -0.570
02DEC2024, Nishat ChunPowerXD, 0.000
02DEC2024, Nishat ChunPowerXD, -0.100
02DEC2024, Nishat ChunPowerXD, -0.020
02DEC2024, Nishat ChunPowerXD, -0.040
02DEC2024, Nestle Pakistan, 62.200
02DEC2024, Netsol Tech., 1.230
02DEC2024, Netsol Tech., 1.260
02DEC2024, Netsol Tech., 1.220
02DEC2024, Netsol Tech., 1.070
02DEC2024, Next Capital, 0.100
02DEC2024, Nimir Ind.Chemicals, 0.830
02DEC2024, NIT Pakistan, -0.020
02DEC2024, NIT Pakistan, -0.010
02DEC2024, NIT Pakistan, -0.030
02DEC2024, Nishat Mills Ltd, 4.290
02DEC2024, Nishat Mills Ltd, 4.550
02DEC2024, Nishat Mills Ltd, 4.450
02DEC2024, Nishat Mills Ltd, 4.320
02DEC2024, Noon Sugar, 2.860
02DEC2024, Nishat Power, -0.480
02DEC2024, Nishat Power, -0.510
02DEC2024, Nishat Power, -0.520
02DEC2024, Nishat Power, -0.540
02DEC2024, National Refinery, 4.010
02DEC2024, National Refinery, 3.650
02DEC2024, National Refinery, 4.070
02DEC2024, National Refinery, 3.800
02DEC2024, Nimir Resins, 0.060
02DEC2024, National Silk, 0.000
02DEC2024, Oilboy Energy L, -0.700
02DEC2024, Octopus Digital, 1.030
02DEC2024, Octopus Digital, 0.760
02DEC2024, Octopus Digital, 1.040
02DEC2024, Octopus Digital, 0.960
02DEC2024, Oil & Gas Dev, -3.490
02DEC2024, Oil & Gas Dev, -3.600
02DEC2024, Oil & Gas Dev, -3.750
02DEC2024, Oil & Gas Dev, -3.870
02DEC2024, OGTI, -125.000
02DEC2024, OGTI, 762.000
02DEC2024, OGTI, -139.000
02DEC2024, OLP Financial, 0.520
02DEC2024, OLP ModarabaXD, 0.000
02DEC2024, Olympia Mills, 2.760
02DEC2024, Orient Rental, 0.370
02DEC2024, Otsuka Pak, 14.910
02DEC2024, 1 Year GIS, 0.050
02DEC2024, 1 Year GIS, 0.050
02DEC2024, 1 Year IJARA Sukuk, 0.090
02DEC2024, 1 Year GIS, -0.490
02DEC2024, 1 Year GIS, 0.050
02DEC2024, 1 Year GIS, 0.050
02DEC2024, 1 Year GIS, 0.050
02DEC2024, 1 Yr GIS Discounted, 0.230
02DEC2024, 1 Year GIS, 0.050
02DEC2024, 1 Year GIS, 0.050
02DEC2024, 1 Year GIS, 0.000
02DEC2024, 5 Year Fixed Rate, 4.440
02DEC2024, P05GIS091225, -100.000
02DEC2024, P05GIS290725, -100.000
02DEC2024, P05GIS300425, -100.000
02DEC2024, Pakistan Alumin, -0.240
02DEC2024, Pakistan Alumin, -0.900
02DEC2024, Pakistan Alumin, -0.300
02DEC2024, Pakistan Alumin, -0.370
02DEC2024, Pace (Pak) Ltd., 0.340
02DEC2024, Pace (Pak) Ltd., 0.330
02DEC2024, Pace (Pak) Ltd., 0.350
02DEC2024, Pace (Pak) Ltd., 0.340
02DEC2024, Pak Elektron, 0.750
02DEC2024, Pak Elektron, 0.780
02DEC2024, Pak Elektron, 0.770
02DEC2024, Pak Elektron, 0.730
02DEC2024, Pak Datacom, 1.580
02DEC2024, Pak Leather, -0.530
02DEC2024, Pak Oxygen Ltd., 0.640
02DEC2024, Pak Reinsurance, -0.070
02DEC2024, Pak Reinsurance, 0.000
02DEC2024, Pak Reinsurance, -0.090
02DEC2024, Pak Reinsurance, -0.100
02DEC2024, Pak Tobacco, -20.230
02DEC2024, Pervez Ahmed Co, 0.080
02DEC2024, Paramount Sp, 0.000
02DEC2024, Pakistan Cables-, 0.380
02DEC2024, Pak Engineering, -8.130
02DEC2024, Pak Gulf Leasing, 0.770
02DEC2024, Pak Hotels, 0.920
02DEC2024, PIA Holding Company, 1.610
02DEC2024, PIA Holding Company, 1.640
02DEC2024, PIA Holding Company, 1.680
02DEC2024, PIA Holding Company, 1.640
02DEC2024, PIA Holding CompanyB, 52.230
02DEC2024, Pak Int.Bulk, 0.530
02DEC2024, Pak Int.Bulk, 0.560
02DEC2024, Pak Int.Bulk, 0.550
02DEC2024, Pak Int.Bulk, 0.540
02DEC2024, Pak.Int.Container, 0.090
02DEC2024, PICIC Ins.Ltd., 0.200
02DEC2024, Popular Islamic, 0.000
02DEC2024, Premier Ins., -0.030
02DEC2024, Pioneer Cement, 12.420
02DEC2024, Pioneer Cement, 11.890
02DEC2024, Pioneer Cement, 12.880
02DEC2024, Pioneer Cement, 12.520
02DEC2024, Pak Gen.Ins., 0.220
02DEC2024, Pakgen Power, 4.260
02DEC2024, Packages Ltd., 6.200
02DEC2024, Prud Mod.1st, 0.020
02DEC2024, Philip Morris Pak., -8.700
02DEC2024, Premier Suger, 0.000
02DEC2024, P.N.S.C, -0.910
02DEC2024, Pak Oilfields, 3.120
02DEC2024, Pak Oilfields, 2.650
02DEC2024, Pak Oilfields, 2.970
02DEC2024, Pak Oilfields, 2.410
02DEC2024, Punjab Oil, 0.000
02DEC2024, Power Cement, 0.550
02DEC2024, Power Cement, 0.510
02DEC2024, Power Cement, 0.570
02DEC2024, Power Cement, 0.560
02DEC2024, Power Cem(Pref), -0.100
02DEC2024, Pak Petroleum, -0.850
02DEC2024, Pak Petroleum, -0.940
02DEC2024, Pak Petroleum, -0.980
02DEC2024, Pak Petroleum, -1.110
02DEC2024, Pak Paper Prod, 0.420
02DEC2024, Pak.P.V.C., 0.220
02DEC2024, At-Tahur Ltd., -1.660
02DEC2024, Pak Refinery, 0.640
02DEC2024, Pak Refinery, 0.580
02DEC2024, Pak Refinery, 0.650
02DEC2024, Pak Refinery, 0.620
02DEC2024, Pak Services, -8.430
02DEC2024, P.S.O., -0.170
02DEC2024, P.S.O., 0.330
02DEC2024, P.S.O., -0.330
02DEC2024, P.S.O., -0.590
02DEC2024, Pak Stock Exchange, 1.140
02DEC2024, Pak Synthetics, 0.630
02DEC2024, P.T.C.L., 0.350
02DEC2024, P.T.C.L., 0.420
02DEC2024, P.T.C.L., 0.350
02DEC2024, P.T.C.L., 0.330
02DEC2024, Panther Tyres Ltd., 1.380
02DEC2024, Quetta Textile, -0.320
02DEC2024, Quice Food, 0.150
02DEC2024, Reliance Cotton, 34.400
02DEC2024, Redco Textile, 1.390
02DEC2024, Reliance Weaving, 12.420
02DEC2024, Reliance Ins., 0.230
02DEC2024, Rafhan Maize, 39.640
02DEC2024, Roshan Packages, 0.400
02DEC2024, Ruby Textile, 0.220
02DEC2024, Rupali Polyester, 0.000
02DEC2024, Saif Textile, 0.690
02DEC2024, Sanghar Sugar, 2.030
02DEC2024, Sapphire Tex., -5.000
02DEC2024, Sindh Abadgar, 3.240
02DEC2024, Sazgar Engineering, 29.290
02DEC2024, Sazgar Engineering, 25.420
02DEC2024, Sazgar Engineering, 30.100
02DEC2024, Sazgar Engineering, 28.790
02DEC2024, Samba Bank, -0.170
02DEC2024, St.Chart.Bank, 0.590
02DEC2024, Shield Corp., 23.380
02DEC2024, The Searle Company, 4.780
02DEC2024, The Searle Company, 4.770
02DEC2024, The Searle Company, 4.950
02DEC2024, The Searle Company, 4.790
02DEC2024, Security Paper, 2.570
02DEC2024, Service Ind Tex, 0.000
02DEC2024, Sapphire Fiber, -3.440
02DEC2024, Service Global, 9.620
02DEC2024, S.G.Power, 0.540
02DEC2024, Shadman Cotton, 0.000
